config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
STORM2,SUS+PF,30000,23,-6351.5,79.22,66.68,0.3358,0.6526,4.0
STORM2,SUS+Random,30000,23,-3968.7,86.8,77.08,0.3851,0.6059,4.0
STORM2,SU+PF,30000,23,-12201.4,53.83,44.86,0.2289,0.7618,1.0
STORM2,SU+Random,30000,23,-13214.4,51.5,40.07,0.2076,0.7846,1.0
STORM2,SUS+PF,30001,19,-5320.3,65.79,53.64,0.3319,0.6576,3.999
STORM2,SUS+Random,30001,19,-4572.7,67.58,57.2,0.352,0.6384,3.999
STORM2,SU+PF,30001,19,-9271.7,47.95,38.82,0.2438,0.7479,1.0
STORM2,SU+Random,30001,19,-11423.8,41.39,29.7,0.1902,0.8025,1.0
STORM2,SUS+PF,30002,32,-19430.9,72.81,49.05,0.1849,0.8067,4.0
STORM2,SUS+Random,30002,32,-18471.3,78.13,51.83,0.195,0.7974,4.0
STORM2,SU+PF,30002,32,-22368.2,53.5,41.25,0.1556,0.8376,1.0
STORM2,SU+Random,30002,32,-25005.7,48.73,29.09,0.1138,0.8791,1.0
STORM2,SUS+PF,30003,21,-13255.7,46.8,30.52,0.175,0.8165,4.0
STORM2,SUS+Random,30003,21,-12469.0,49.76,33.97,0.1914,0.8004,4.0
STORM2,SU+PF,30003,21,-14257.8,38.5,28.52,0.1618,0.831,1.0
STORM2,SU+Random,30003,21,-16437.8,32.81,18.98,0.1121,0.8811,1.0
STORM2,SUS+PF,30004,18,-5829.0,61.22,46.88,0.3054,0.6836,3.999
STORM2,SUS+Random,30004,18,-6244.5,59.78,44.82,0.2946,0.6952,3.998
STORM2,SU+PF,30004,18,-8963.0,45.32,36.37,0.2384,0.7543,1.0
STORM2,SU+Random,30004,18,-10899.4,40.28,27.54,0.185,0.8071,1.0
STORM2,SUS+PF,30005,24,-10884.9,68.27,51.27,0.2509,0.7394,4.0
STORM2,SUS+Random,30005,24,-10475.9,71.12,52.23,0.2559,0.735,4.0
STORM2,SU+PF,30005,24,-13610.0,52.65,42.78,0.2099,0.7825,1.0
STORM2,SU+Random,30005,24,-16185.1,45.89,31.09,0.1584,0.8341,1.0
STORM2,SUS+PF,30006,28,-15144.5,72.33,48.43,0.209,0.7826,4.0
STORM2,SUS+Random,30006,28,-14959.5,75.18,48.01,0.2078,0.7845,4.0
STORM2,SU+PF,30006,28,-18054.4,53.12,40.53,0.1752,0.8176,1.0
STORM2,SU+Random,30006,28,-20575.1,48.55,28.67,0.1288,0.8637,1.0
STORM2,SUS+PF,30007,19,-852.8,81.78,72.69,0.4414,0.5508,3.983
STORM2,SUS+Random,30007,19,-110.9,84.78,75.32,0.4574,0.536,3.981
STORM2,SU+PF,30007,19,-6826.5,56.0,49.32,0.3041,0.6898,1.0
STORM2,SU+Random,30007,19,-8895.1,51.23,39.82,0.2509,0.7422,1.0
STORM2,SUS+PF,30008,19,-3445.8,74.53,60.44,0.373,0.6174,3.999
